Table 4-22M:  Energy Intensity of Light Duty Vehicles and Motorcycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
Vehicle-kilometers (millions),,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b","944,685","1,163,556","1,475,768","1,664,062","1,789,591","2,006,852","2,265,956","2,185,489","2,208,020","2,212,848","2,262,738","2,314,237","2,365,736","2,418,844","2,494,483","2,525,061","2,575,412","2,618,991","2,669,055","2,690,770","2,735,708","2,749,437","2,720,651","3,386,729","3,258,531","3,243,977","3,260,120","3,293,172","3,319,799","3,338,460","3,334,676"
"Light duty vehicle, long wheel baseb",N,N,"197,949","323,478","468,319","629,254","925,373","1,044,464","1,137,806","1,200,571","1,231,148","1,271,382","1,314,834","1,369,552","1,396,911","1,450,019","1,485,519","1,516,991","1,554,681","1,583,627","1,653,060","1,675,410","1,742,099","944,071","974,388","993,824","1,002,157","972,326","967,589","970,928","1,027,541"
Motorcyclea,U,U,"4,828","9,012","16,415","14,645","15,450","14,806","15,450","15,933","16,415","15,772","15,933","16,254","16,576","17,059","16,848","15,502","15,372","15,411","16,290","16,825","19,392","34,434","33,492","33,510","29,794","29,841","34,416","32,776","32,138"
Passenger-kilometers (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b","1,842,699","2,245,035","2,817,961","3,144,658","3,238,000","3,369,966","3,672,523","3,540,557","3,553,432","3,561,478","3,621,024","3,680,570","3,761,037","3,844,723","3,965,424","4,015,313","4,094,907","4,114,258","4,217,107","4,251,702","4,322,419","4,344,110","4,298,629","5,351,032","5,148,478","4,507,134","4,529,562","4,575,485","4,612,480","4,638,407","4,633,149"
"Light duty vehicle, long wheel baseb",N,N,"363,712","584,192","838,468","1,107,229","1,609,344","1,797,637","1,934,431","2,016,508","2,042,258","2,021,336","2,088,929","2,177,442","2,222,504","2,306,190","2,361,976","2,701,851","2,695,316","2,745,706","2,865,873","2,904,621","3,020,240","1,636,715","1,689,275","1,327,699","1,338,832","1,298,979","1,292,651","1,297,112","1,372,743"
Motorcyclea,U,U,"4,828","9,656","19,312","19,312","19,312","19,312","19,312","19,312","19,312","17,703","17,703","17,703","17,703","19,312","18,533","18,925","19,523","19,574","20,689","21,367","24,628","43,731","42,534","36,094","32,091","32,142","37,070","35,304","34,616"
Average occupancy rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
