Table 1-56M: U.S. Waterborne Freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TOTAL freight,997.8,"1,154.8","1,389.5","1,537.7","1,813.4","1,622.4","1,963.0","1,897.9","1,934.2","1,930.7","2,009.2","2,032.5","2,072.1","2,116.6","2,122.4","2,107.0","2,199.6","2,171.2","2,123.1","2,172.0","2,315.1","2,293.0","2,348.2","2,326.0","2,247.2","2,005.6","2,117.7","2,147.7","2,224.7","2,192.1","2,233.7"
Foreign,307.8,402.5,527.0,679.2,835.9,702.5,944.9,919.5,941.2,961.7,"1,012.2","1,040.9","1,073.6","1,107.3","1,129.8","1,143.8","1,229.0","1,225.4","1,196.8","1,250.2","1,365.2","1,359.6","1,419.7","1,399.3","1,379.6","1,228.0","1,307.2","1,342.2","1,421.9","1,383.6","1,383.6"
Imports,191.7,244.8,307.8,432.3,469.5,374.4,544.3,503.8,532.3,588.6,652.7,610.2,664.6,715.1,762.7,780.9,852.5,863.5,848.2,911.5,988.0,995.1,"1,025.9",975.8,906.0,779.2,801.1,788.5,729.8,688.3,690.3
Exports,116.1,157.8,219.2,246.9,366.4,328.1,400.6,415.7,408.9,373.1,359.5,430.6,409.0,392.2,367.1,362.9,376.5,362.0,348.7,338.7,377.2,364.5,393.8,423.5,473.6,448.8,506.1,553.8,560.1,566.9,587.7
Domestic,690.0,752.2,862.5,858.5,977.5,920.0,"1,018.1",978.4,993.0,969.0,997.0,991.6,998.5,"1,009.3",992.6,963.2,970.5,945.7,926.2,921.8,949.9,933.4,928.5,926.7,867.6,777.5,810.5,805.5,802.8,808.4,850.1
Inland,264.0,335.3,428.3,457.2,485.3,485.0,564.8,544.7,563.4,550.9,561.0,562.7,564.3,572.0,567.0,566.6,570.1,562.3,551.6,553.0,568.1,566.1,569.4,564.2,533.9,474.0,513.1,502.2,512.6,514.1,543.8
Coastal,189.8,182.8,216.3,210.4,299.0,281.0,270.9,267.2,258.7,246.5,251.3,241.9,242.6,238.7,226.5,207.6,205.9,202.9,196.3,202.7,200.1,193.8,183.1,186.7,169.0,152.2,149.2,146.0,138.0,149.6,156.0
Great Lakes,140.7,139.4,142.5,117.3,104.4,83.4,99.9,93.8,97.4,99.7,104.1,105.3,104.2,111.3,110.8,103.3,103.7,90.7,92.0,81.4,93.9,87.3,87.9,86.8,82.0,57.3,73.1,79.7,76.6,77.4,79.8
Intraport,94.5,93.3,73.9,71.0,85.4,67.4,78.4,68.6,69.7,67.5,75.2,75.4,80.7,81.5,81.7,80.4,85.8,84.6,81.7,78.8,82.8,81.8,82.9,84.4,78.9,89.8,71.0,73.7,73.5,66.2,69.4
Intraterritory,0.9,1.3,1.5,2.6,3.3,3.1,4.1,4.1,3.9,4.5,5.4,6.2,6.6,5.7,6.5,5.3,5.0,5.3,4.6,5.8,5.0,4.4,5.3,4.7,3.8,4.2,4.2,3.8,2.1,1.1,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beginning in 1996, shipments of fish are excluded from domestic Inland and Intraport tonnage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 short ton = 0.907185 short tonnes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: U.S. Army Corps of Engineers, Waterborne Commerce of the United States, Calendar Year 2004 (New Orleans, LA), part 5, tables 1-1, 1-3, and 1-6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-2014: Ibid., Waterborne Commerce of the United States (New Orleans, LA: Annual Issues), part 5, tables 1-2 and 1-3, available at http://www.navigationdatacenter.us/wcsc/wcsc.htm as of  June 17, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
